% COMP47490 2017 - Assignment 1 Q1
% Dataset bank for student ID number 15211282
@relation bank-15211282

@attribute checking_account {<0,0<=X<200,>=200,'no checking'}
@attribute duration numeric
@attribute credit_history {'no credits','all paid','existing paid','delayed previously',critical}
@attribute purpose {'new car','used car',furniture,laptop,wedding,repairs,education,vacation,retraining,business,other}
@attribute credit_amount numeric
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute employment {unemployed,<1,1<=X<4,4<=X<7,>=7}
@attribute installments numeric
@attribute personal_status {'male div/sep','female div/dep/mar','male single','male mar/wid','female single'}
@attribute other_parties {none,'co applicant',guarantor}
@attribute residence_since numeric
@attribute property {house,apartment,car,'no known property'}
@attribute age numeric
@attribute other_payment_plans {bank,stores,none}
@attribute existing_credits numeric
@attribute job {unemployed,unskilled,skilled,'highly qualified'}
@attribute num_dependents numeric
@attribute online_banking {none,yes}
@attribute international_visa {yes,no}
@attribute creditworthiness {high,low}

@data
0<=X<200,24,'existing paid',laptop,2896,100<=X<500,<1,2,'male single',none,1,car,29,none,1,skilled,1,none,yes,high
'no checking',24,'existing paid','new car',1474,100<=X<500,<1,4,'male mar/wid',none,3,house,33,none,1,skilled,1,yes,yes,high
'no checking',9,critical,education,936,500<=X<1000,>=7,4,'male single',none,2,car,52,none,2,skilled,1,yes,yes,high
<0,47,'existing paid','new car',10722,<100,<1,1,'female div/dep/mar',none,1,house,35,none,1,unskilled,1,yes,yes,high
<0,12,'existing paid',laptop,1680,500<=X<1000,>=7,3,'male mar/wid',none,1,house,35,none,1,skilled,1,none,yes,high
0<=X<200,9,'all paid','new car',1437,100<=X<500,4<=X<7,2,'male single',none,3,'no known property',29,none,1,skilled,1,none,yes,low
<0,36,'all paid',furniture,2746,<100,>=7,4,'male single',none,4,car,31,bank,1,skilled,1,none,yes,low
'no checking',21,'existing paid','new car',2782,500<=X<1000,4<=X<7,1,'female div/dep/mar',none,2,car,31,bank,1,'highly qualified',1,none,yes,high
<0,24,'existing paid',furniture,7721,'no known savings',<1,1,'female div/dep/mar',none,2,apartment,30,none,1,skilled,1,yes,no,high
0<=X<200,18,critical,business,1887,'no known savings',1<=X<4,4,'male mar/wid',none,4,house,28,bank,2,skilled,1,none,yes,high
'no checking',24,'delayed previously',business,2978,'no known savings',1<=X<4,4,'male single',none,4,house,32,none,2,skilled,2,yes,yes,high
'no checking',10,critical,furniture,2069,'no known savings',1<=X<4,2,'male mar/wid',none,1,car,26,none,2,skilled,1,none,no,high
<0,18,'existing paid','new car',1216,<100,<1,4,'female div/dep/mar',none,3,car,23,none,1,skilled,1,yes,yes,low
